,coord1,coord2,volume,dii1,dii2,from,to
1140,20.25,-1.25,6.25,652457.2226299973,652457.2226299973,24990,25007
1141,20.25,-0.75,6.25,652457.2226299973,652457.2226299973,25007,25029
1142,20.25,-0.25,6.25,652457.2226299973,652457.2226299973,25029,25056
1143,20.25,0.25,6.25,652457.2226299973,652457.2226299973,25056,25083
1144,20.25,0.75,6.25,652457.2226299973,652457.2226299973,25083,25105
1145,20.25,1.25,6.25,652457.2226299973,652457.2226299973,25105,25122
1146,20.75,-1.25,6.25,652457.2226299973,652457.2226299973,25122,25139
1147,20.75,-0.75,6.25,652457.2226299973,652457.2226299973,25139,25161
1148,20.75,-0.25,6.25,652457.2226299973,652457.2226299973,25161,25188
1149,20.75,0.25,6.25,652457.2226299973,652457.2226299973,25188,25215
1150,20.75,0.75,6.25,652457.2226299973,652457.2226299973,25215,25237
1151,20.75,1.25,6.25,652457.2226299973,652457.2226299973,25237,25254
1152,21.25,-1.25,6.25,652457.2226299973,652457.2226299973,25254,25271
1153,21.25,-0.75,6.25,652457.2226299973,652457.2226299973,25271,25293
1154,21.25,-0.25,6.25,652457.2226299973,652457.2226299973,25293,25320
1155,21.25,0.25,6.25,652457.2226299973,652457.2226299973,25320,25347
1156,21.25,0.75,6.25,652457.2226299973,652457.2226299973,25347,25369
1157,21.25,1.25,6.25,652457.2226299973,652457.2226299973,25369,25386
1158,21.75,-1.25,6.25,652457.2226299973,652457.2226299973,25386,25403
1159,21.75,-0.75,6.25,652457.2226299973,652457.2226299973,25403,25425
1160,21.75,-0.25,6.25,652457.2226299973,652457.2226299973,25425,25452
1161,21.75,0.25,6.25,652457.2226299973,652457.2226299973,25452,25479
1162,21.75,0.75,6.25,652457.2226299973,652457.2226299973,25479,25501
1163,21.75,1.25,6.25,652457.2226299973,652457.2226299973,25501,25518
1164,22.25,-1.25,6.25,652457.2226299973,652457.2226299973,25518,25535
1165,22.25,-0.75,6.25,652457.2226299973,652457.2226299973,25535,25557
1166,22.25,-0.25,6.25,652457.2226299973,652457.2226299973,25557,25584
1167,22.25,0.25,6.25,652457.2226299973,652457.2226299973,25584,25611
1168,22.25,0.75,6.25,652457.2226299973,652457.2226299973,25611,25633
1169,22.25,1.25,6.25,652457.2226299973,652457.2226299973,25633,25650
1170,22.75,-1.25,6.25,652457.2226299973,652457.2226299973,25650,25667
1171,22.75,-0.75,6.25,652457.2226299973,652457.2226299973,25667,25689
1172,22.75,-0.25,6.25,652457.2226299973,652457.2226299973,25689,25716
1173,22.75,0.25,6.25,652457.2226299973,652457.2226299973,25716,25743
1174,22.75,0.75,6.25,652457.2226299973,652457.2226299973,25743,25765
1175,22.75,1.25,6.25,652457.2226299973,652457.2226299973,25765,25782
1176,23.25,-1.25,6.25,652457.2226299973,652457.2226299973,25782,25799
1177,23.25,-0.75,6.25,652457.2226299973,652457.2226299973,25799,25821
1178,23.25,-0.25,6.25,652457.2226299973,652457.2226299973,25821,25848
1179,23.25,0.25,6.25,652457.2226299973,652457.2226299973,25848,25875
1180,23.25,0.75,6.25,652457.2226299973,652457.2226299973,25875,25897
1181,23.25,1.25,6.25,652457.2226299973,652457.2226299973,25897,25914
1182,23.75,-1.25,6.25,652457.2226299973,652457.2226299973,25914,25931
1183,23.75,-0.75,6.25,652457.2226299973,652457.2226299973,25931,25953
1184,23.75,-0.25,6.25,652457.2226299973,652457.2226299973,25953,25980
1185,23.75,0.25,6.25,652457.2226299973,652457.2226299973,25980,26007
1186,23.75,0.75,6.25,652457.2226299973,652457.2226299973,26007,26029
1187,23.75,1.25,6.25,652457.2226299973,652457.2226299973,26029,26046
1188,24.25,-1.25,6.25,652457.2226299973,652457.2226299973,26046,26063
1189,24.25,-0.75,6.25,652457.2226299973,652457.2226299973,26063,26085
1190,24.25,-0.25,6.25,652457.2226299973,652457.2226299973,26085,26112
1191,24.25,0.25,6.25,652457.2226299973,652457.2226299973,26112,26139
1192,24.25,0.75,6.25,652457.2226299973,652457.2226299973,26139,26161
1193,24.25,1.25,6.25,652457.2226299973,652457.2226299973,26161,26178
1194,24.75,-1.25,6.25,652457.2226299973,652457.2226299973,26178,26195
1195,24.75,-0.75,6.25,652457.2226299973,652457.2226299973,26195,26217
1196,24.75,-0.25,6.25,652457.2226299973,652457.2226299973,26217,26244
1197,24.75,0.25,6.25,652457.2226299973,652457.2226299973,26244,26271
1198,24.75,0.75,6.25,652457.2226299973,652457.2226299973,26271,26293
1199,24.75,1.25,6.25,652457.2226299973,652457.2226299973,26293,26310
1200,25.25,-1.25,6.25,652457.2226299973,652457.2226299973,26310,26327
1201,25.25,-0.75,6.25,652457.2226299973,652457.2226299973,26327,26349
1202,25.25,-0.25,6.25,652457.2226299973,652457.2226299973,26349,26376
1203,25.25,0.25,6.25,652457.2226299973,652457.2226299973,26376,26403
1204,25.25,0.75,6.25,652457.2226299973,652457.2226299973,26403,26425
1205,25.25,1.25,6.25,652457.2226299973,652457.2226299973,26425,26442
1206,25.75,-1.25,6.25,652457.2226299973,652457.2226299973,26442,26459
1207,25.75,-0.75,6.25,652457.2226299973,652457.2226299973,26459,26481
1208,25.75,-0.25,6.25,652457.2226299973,652457.2226299973,26481,26508
1209,25.75,0.25,6.25,652457.2226299973,652457.2226299973,26508,26535
1210,25.75,0.75,6.25,652457.2226299973,652457.2226299973,26535,26557
1211,25.75,1.25,6.25,652457.2226299973,652457.2226299973,26557,26574
1212,26.25,-1.25,6.25,652457.2226299973,652457.2226299973,26574,26591
1213,26.25,-0.75,6.25,652457.2226299973,652457.2226299973,26591,26613
1214,26.25,-0.25,6.25,652457.2226299973,652457.2226299973,26613,26640
1215,26.25,0.25,6.25,652457.2226299973,652457.2226299973,26640,26667
1216,26.25,0.75,6.25,652457.2226299973,652457.2226299973,26667,26689
1217,26.25,1.25,6.25,652457.2226299973,652457.2226299973,26689,26706
1218,26.75,-1.25,6.25,652457.2226299973,652457.2226299973,26706,26723
1219,26.75,-0.75,6.25,652457.2226299973,652457.2226299973,26723,26745
1220,26.75,-0.25,6.25,652457.2226299973,652457.2226299973,26745,26772
1221,26.75,0.25,6.25,652457.2226299973,652457.2226299973,26772,26799
1222,26.75,0.75,6.25,652457.2226299973,652457.2226299973,26799,26821
1223,26.75,1.25,6.25,652457.2226299973,652457.2226299973,26821,26838
1224,27.25,-1.25,6.25,652457.2226299973,652457.2226299973,26838,26855
1225,27.25,-0.75,6.25,652457.2226299973,652457.2226299973,26855,26877
1226,27.25,-0.25,6.25,652457.2226299973,652457.2226299973,26877,26904
1227,27.25,0.25,6.25,652457.2226299973,652457.2226299973,26904,26931
1228,27.25,0.75,6.25,652457.2226299973,652457.2226299973,26931,26953
1229,27.25,1.25,6.25,652457.2226299973,652457.2226299973,26953,26970
1230,27.75,-1.25,6.25,652457.2226299973,652457.2226299973,26970,26987
1231,27.75,-0.75,6.25,652457.2226299973,652457.2226299973,26987,27009
1232,27.75,-0.25,6.25,652457.2226299973,652457.2226299973,27009,27036
1233,27.75,0.25,6.25,652457.2226299973,652457.2226299973,27036,27063
1234,27.75,0.75,6.25,652457.2226299973,652457.2226299973,27063,27085
1235,27.75,1.25,6.25,652457.2226299973,652457.2226299973,27085,27102
1236,28.25,-1.25,6.25,652457.2226299973,652457.2226299973,27102,27119
1237,28.25,-0.75,6.25,652457.2226299973,652457.2226299973,27119,27141
1238,28.25,-0.25,6.25,652457.2226299973,652457.2226299973,27141,27168
1239,28.25,0.25,6.25,652457.2226299973,652457.2226299973,27168,27195
1240,28.25,0.75,6.25,652457.2226299973,652457.2226299973,27195,27217
1241,28.25,1.25,6.25,652457.2226299973,652457.2226299973,27217,27234
1242,28.75,-1.25,6.25,652457.2226299973,652457.2226299973,27234,27251
1243,28.75,-0.75,6.25,652457.2226299973,652457.2226299973,27251,27273
1244,28.75,-0.25,6.25,652457.2226299973,652457.2226299973,27273,27300
1245,28.75,0.25,6.25,652457.2226299973,652457.2226299973,27300,27327
1246,28.75,0.75,6.25,652457.2226299973,652457.2226299973,27327,27349
1247,28.75,1.25,6.25,652457.2226299973,652457.2226299973,27349,27366
1248,29.25,-1.25,6.25,652457.2226299973,652457.2226299973,27366,27383
1249,29.25,-0.75,6.25,652457.2226299973,652457.2226299973,27383,27405
1250,29.25,-0.25,6.25,652457.2226299973,652457.2226299973,27405,27432
1251,29.25,0.25,6.25,652457.2226299973,652457.2226299973,27432,27459
1252,29.25,0.75,6.25,652457.2226299973,652457.2226299973,27459,27481
1253,29.25,1.25,6.25,652457.2226299973,652457.2226299973,27481,27498
1254,29.75,-1.25,6.25,652457.2226299973,652457.2226299973,27498,27515
1255,29.75,-0.75,6.25,652457.2226299973,652457.2226299973,27515,27537
1256,29.75,-0.25,6.25,652457.2226299973,652457.2226299973,27537,27564
1257,29.75,0.25,6.25,652457.2226299973,652457.2226299973,27564,27591
1258,29.75,0.75,6.25,652457.2226299973,652457.2226299973,27591,27613
1259,29.75,1.25,6.25,652457.2226299973,652457.2226299973,27613,27630
1260,30.25,-1.25,6.25,652457.2226299973,652457.2226299973,27630,27647
1261,30.25,-0.75,6.25,652457.2226299973,652457.2226299973,27647,27669
1262,30.25,-0.25,6.25,652457.2226299973,652457.2226299973,27669,27696
1263,30.25,0.25,6.25,652457.2226299973,652457.2226299973,27696,27723
1264,30.25,0.75,6.25,652457.2226299973,652457.2226299973,27723,27745
1265,30.25,1.25,6.25,652457.2226299973,652457.2226299973,27745,27762
1266,30.75,-1.25,6.25,652457.2226299973,652457.2226299973,27762,27779
1267,30.75,-0.75,6.25,652457.2226299973,652457.2226299973,27779,27801
